recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
180208428,76561198065808106,0,5,35114,365,35013,1732769752,english,Amazing,1732763264,1732763264,True,0,0,0,0,True,False,False
180197616,76561198049852303,135,23,37557,40,37557,1732043501,english,"Difficult, with lots of dark and religious themes. An interesting story (or stories, since there are multiple endings). There are many synergies between different items, and there are many, many items. My main gripe with the game is the lack of info within the game on each item you pick up, but with how much there is it's definitely worth a try.",1732761321,1732761321,True,0,0,0,0,True,False,False
180196813,76561199529116865,0,1,290,192,290,1732761155,english,Very interesting game,1732761185,1732761185,True,0,0,0,0,True,False,False
180196441,76561199014020942,0,9,2059,1679,1853,1732775967,english,child cry tears kill monsters 10/10,1732761120,1732761120,True,0,0,0,0,True,False,False
180194768,76561199099620772,240,34,11,11,11,1732760938,english,"You can't use mouse, no option in settings you have to go into the game files and teak them to use mouse. Got so mad I dented my mic.",1732760830,1732760830,False,0,0,0.454545468091964722,0,True,False,False
180193854,76561198445664948,0,3,39988,1075,39988,1732751014,english,muhaha!,1732760664,1732760664,True,1,0,0.523809552192687988,0,True,False,False
180193775,76561199062353814,0,12,12634,329,12523,1732770652,english,goated game literally crying all over the enemies bro,1732760649,1732760675,True,0,0,0,0,True,False,False
180192558,76561199219535583,0,4,5199,133,5163,1732762897,english,Good game with a great pool of varied items,1732760433,1732760433,True,0,0,0,0,True,False,False
180190914,76561199235308746,0,2,33282,46,33276,1732764613,english,"The game is really fun
",1732760151,1732760151,True,0,0,0,0,True,False,False
180186833,76561198085704651,518,22,11572,1962,11572,1732759309,english,"Edmund McMillen, You litte F**ker You made a shit of piece with your trash Issac it’s f**King Bad this trash game I will become back my money I hope you will in your next time a cow on a trash farm you sucker. Peak Game",1732759415,1732759415,True,0,0,0,0,True,False,False
180180254,76561198059016030,0,4,49149,1718,49022,1732805034,english,"It's the definition of rogue-lke, a wonderful game with great gameplay, music and lore.
10/10",1732758243,1732758243,True,0,0,0,0,True,False,False
180179230,76561198196867530,172,3,25239,1211,25053,1732800229,english,When the Issac does the.. Binding? Good game,1732758051,1732758051,True,0,0,0,0,True,False,False
180175189,76561198384590015,0,1,26027,723,25968,1732767236,english,"god tier, replayability like nothing i've ever seen",1732757332,1732757332,True,0,0,0,0,True,False,False
180173693,76561198126911221,0,4,21263,992,21002,1732772725,english,Even better with multiplayer being supported.,1732757069,1732757069,True,0,0,0,0,True,False,False
180171768,76561199546390406,120,6,385,76,385,1732756586,english,"I have no idea what I'm doing most of the time, but very good rouge-like.",1732756733,1732756733,True,0,0,0,0,True,False,False
180170253,76561198364283588,46,16,226,226,204,1732758071,english,прошел игру за 2 часа,1732756459,1732756459,True,0,0,0,0,True,False,False
180169658,76561198060498180,547,34,63515,1151,63441,1732783155,english,its sometimes fun,1732756357,1732756357,True,1,0,0.523809552192687988,0,True,False,False
180169656,76561198855315358,0,5,18649,32,18647,1732756426,english,пися попа кака,1732756357,1732756357,True,0,0,0,0,True,False,False
180166168,76561198837396364,0,17,11307,3,11306,1732755997,english,I want to kms. 10/10,1732755734,1732755849,True,0,0,0,0,True,False,False
180165592,76561199513898746,0,1,23889,2123,23833,1732797875,english,very fun game i love jacob and easu,1732755619,1732755619,True,0,0,0,0,True,False,False
180164905,76561198138587404,0,1,22783,1807,22783,1732669520,english,its ok,1732755496,1732755496,True,0,0,0,0,True,False,False
180162190,76561199132037406,0,6,466,466,323,1732770377,english,its fun,1732755008,1732755008,True,0,0,0,0,True,False,False
180160523,76561199028496282,72,3,9545,1594,9444,1732768098,english,"its fun although you'll probably get addicted whenever you get the hang of it, specially after getting a god-like run, and whenever you get bored you can add mods to feed your new gained isaac addiction


10/10 would recommend, just don't try going for dead god if you dont plan on spending the rest of your days playing this game",1732754711,1732754711,True,0,0,0,0,True,False,False
180159127,76561198059259870,183,5,27955,458,27872,1732759426,english,even when i hate this game i love this game,1732754454,1732754454,True,0,0,0,0,True,False,False
180158076,76561198316722214,275,12,63868,2622,63868,1732754103,english,"É divertido, nem um pouco viciante, apagaria da minha memória pra jogar pela primeira vez novamente",1732754261,1732754261,True,0,0,0,0,True,False,False
180153726,76561199013245607,77,28,328,328,284,1732761517,english,it's like drugs if they were good,1732753463,1732753463,True,0,0,0,0,True,False,False
180153523,76561198031487833,0,2,5032,1588,4735,1732806428,english,i fucking hate this game,1732753429,1732753429,True,0,0,0,0,True,False,False
180152909,76561198259318548,177,18,34677,1240,34627,1732757210,english,isaac!,1732753313,1732753313,True,0,0,0,0,True,False,False
180148977,76561197980042011,0,15,27855,313,27855,1732676146,english,Crying in the basement... now with friends,1732752616,1732752616,True,1,0,0.523809552192687988,0,True,False,False
180145897,76561199225084405,0,8,507,402,506,1732752118,english,None of my friends want to play co op with me,1732752053,1732752053,False,0,0,0,0,True,False,False
180144330,76561197965042642,0,3,20596,283,20554,1732791513,english,The best game to enjoy on the Steam Deck. A roller coaster ride filled with poop. Easy to pick up and put down to kill time.,1732751767,1732751767,True,0,0,0,0,True,False,False
180143478,76561199057482705,89,10,9181,840,8987,1732799252,english,"This might be one of the best games for those who like to 100% games.
9/10 game",1732751618,1732751618,True,0,0,0,0,True,False,False
